"age","workclass","education","maritial.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
64,"Private","Assoc-acdm","Never-married","Prof-specialty","Other-relative","White","Female",0,0,30,"United-States","small"
27,"Local-gov","Bachelors","Never-married","Prof-specialty","Not-in-family","Amer-Indian-Eskimo","Female",3325,0,43,"United-States","small"
41,"Private","11th","Divorced","Other-service","Unmarried","Other","Female",0,0,40,"United-States","small"
22,"Private","11th","Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","small"
17,"Private","10th","Never-married","Sales","Unmarried","White","Female",0,0,12,"United-States","small"
18,"Private","12th","Never-married","Sales","Own-child","Black","Female",0,0,15,"United-States","small"
25,"Private","Assoc-acdm","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,26,"United-States","small"
35,"Private","Masters","Never-married","Prof-specialty","Not-in-family","White","Male",0,0,45,"United-States","large"
34,"Self-emp-not-inc","Bachelors","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",15024,0,70,"South","large"
26,"Local-gov","Some-college","Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,55,"United-States","large"
18,"Private","Some-college","Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","small"
31,"Private","Some-college","Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States","small"
37,"Private","Masters","Divorced","Exec-managerial","Not-in-family","White","Male",0,0,65,"United-States","small"
37,"Private","HS-grad","Separated","Exec-managerial","Own-child","White","Male",0,0,40,"United-States","small"
27,"Self-emp-not-inc","HS-grad","Never-married","Protective-serv","Not-in-family","White","Male",0,0,30,"United-States","small"
36,"Private","Masters","Never-married","Exec-managerial","Not-in-family","White","Female",14084,0,40,"United-States","large"
51,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","large"
48,"Private","Assoc-acdm","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","small"
67,"Private","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","large"
25,"Private","Bachelors","Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","small"
26,"Private","Some-college","Never-married","Machine-op-inspct","Not-in-family","Asian-Pac-Islander","Male",0,0,45,"United-States","large"
43,"Private","HS-grad","Divorced","Craft-repair","Not-in-family","White","Male",0,0,35,"United-States","small"
26,"Private","Assoc-acdm","Never-married","Tech-support","Not-in-family","White","Male",0,0,45,"United-States","small"
29,"Private","Some-college","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","small"
44,"Private","Assoc-voc","Married-civ-spouse","Adm-clerical","Husband","White","Male",7298,0,51,"United-States","large"
49,"Private","Masters","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States","large"
50,"Local-gov","Some-college","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1740,48,"United-States","small"
57,"Private","Masters","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","large"
38,"Local-gov","HS-grad","Never-married","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","small"
32,"Private","Bachelors","Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","small"
51,"Local-gov","HS-grad","Divorced","Protective-serv","Unmarried","White","Male",0,0,52,"United-States","small"
25,"Local-gov","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United-States","large"
23,"Private","HS-grad","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","small"
50,"Local-gov","Masters","Divorced","Exec-managerial","Not-in-family","White","Female",4650,0,70,"United-States","small"
38,"Private","HS-grad","Divorced","Craft-repair","Own-child","White","Male",0,0,28,"United-States","small"
25,"Private","Some-college","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","small"
32,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","large"
41,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","small"
34,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","large"
53,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","large"
51,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,48,"United-States","large"
44,"Private","HS-grad","Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,40,"United-States","small"
59,"Private","HS-grad","Separated","Sales","Unmarried","Black","Female",0,0,40,"United-States","small"
47,"Private","Prof-school","Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States","large"
36,"Private","HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","small"
45,"Federal-gov","Bachelors","Never-married","Protective-serv","Not-in-family","Black","Female",0,0,40,"United-States","small"
41,"Private","Doctorate","Divorced","Sales","Unmarried","White","Female",0,0,50,"United-States","large"
23,"Private","Assoc-voc","Never-married","Craft-repair","Unmarried","White","Male",0,0,50,"United-States","small"
51,"Private","Bachelors","Never-married","Prof-specialty","Not-in-family","Black","Male",0,0,35,"United-States","small"
55,"Local-gov","Masters","Divorced","Prof-specialty","Unmarried","White","Female",0,0,45,"United-States","small"
49,"Private","Some-college","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","small"
24,"State-gov","7th-8th","Never-married","Tech-support","Unmarried","White","Female",0,0,20,"United-States","small"
34,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,45,"United-States","large"
61,"Private","HS-grad","Divorced","Adm-clerical","Other-relative","Black","Female",0,0,35,"United-States","small"
23,"Private","Bachelors","Never-married","Exec-managerial","Own-child","White","Female",0,0,60,"United-States","small"
30,"Local-gov","HS-grad","Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States","small"
22,"Private","11th","Never-married","Sales","Unmarried","White","Female",0,0,25,"United-States","small"
40,"Self-emp-not-inc","Some-college","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","small"
47,"Federal-gov","Assoc-acdm","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","large"
45,"Local-gov","11th","Married-civ-spouse","Other-service","Wife","White","Female",0,0,25,"United-States","small"
30,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","large"
42,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","small"
27,"Private","Bachelors","Never-married","Adm-clerical","Own-child","White","Male",0,0,38,"United-States","small"
47,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,56,"United-States","large"
39,"Private","HS-grad","Divorced","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","small"
50,"Local-gov","Bachelors","Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","large"
33,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",0,0,20,"United-States","small"
25,"Private","HS-grad","Never-married","Sales","Own-child","White","Female",0,0,40,"Columbia","small"
29,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,30,"Mexico","small"
58,"Private","Assoc-voc","Married-civ-spouse","Exec-managerial","Husband","White","Male",3908,0,40,"United-States","small"
51,"Private","Some-college","Never-married","Exec-managerial","Not-in-family","White","Female",0,0,12,"United-States","small"
44,"Private","Assoc-voc","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","large"
35,"Private","11th","Separated","Other-service","Unmarried","White","Male",0,0,20,"United-States","small"
29,"Private","Some-college","Married-civ-spouse","Adm-clerical","Own-child","White","Female",0,0,6,"United-States","small"
61,"Self-emp-not-inc","9th","Married-civ-spouse","Sales","Husband","White","Male",0,0,58,"United-States","large"
59,"Local-gov","9th","Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","small"
32,"Private","Some-college","Never-married","Other-service","Own-child","White","Male",0,0,35,"United-States","small"
29,"Private","HS-grad","Never-married","Farming-fishing","Unmarried","White","Male",0,0,35,"United-States","small"
17,"Private","11th","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","small"
43,"State-gov","Some-college","Divorced","Adm-clerical","Not-in-family","Black","Male",0,0,50,"United-States","large"
50,"Self-emp-inc","Masters","Never-married","Prof-specialty","Not-in-family","Black","Male",0,0,50,"Trinadad&Tobago","small"
28,"Private","HS-grad","Never-married","Transport-moving","Not-in-family","White","Female",0,0,40,"United-States","small"
64,"Private","Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States","large"
52,"Private","HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"El-Salvador","large"
61,"Private","Some-college","Married-civ-spouse","Tech-support","Husband","White","Male",15024,0,18,"United-States","large"
46,"Private","Some-college","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","large"
20,"Private","Some-college","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","small"
19,"Private","Assoc-voc","Never-married","Other-service","Own-child","Asian-Pac-Islander","Male",0,0,16,"United-States","small"
55,"Private","Some-college","Never-married","Adm-clerical","Own-child","White","Female",0,0,36,"United-States","small"
43,"Private","Some-college","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,60,"United-States","small"
70,"Private","Some-college","Divorced","Farming-fishing","Not-in-family","Asian-Pac-Islander","Male",0,0,40,"Vietnam","small"
29,"Private","Assoc-voc","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1887,48,"United-States","large"
28,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",2580,0,40,"United-States","small"
28,"Local-gov","Masters","Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,55,"United-States","small"
38,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","large"
45,"Self-emp-not-inc","Prof-school","Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,50,"India","large"
25,"Private","HS-grad","Never-married","Handlers-cleaners","Other-relative","White","Male",0,0,45,"United-States","small"
34,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,70,"United-States","small"
54,"Private","Some-college","Separated","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","small"
54,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,20,"United-States","small"
42,"Self-emp-inc","Some-college","Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,60,"Taiwan","small"
30,"Private","Some-college","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"Poland","small"
33,"Private","7th-8th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","small"
33,"Private","Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,40,"United-States","large"
27,"Private","HS-grad","Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","small"
35,"Private","Assoc-acdm","Separated","Sales","Unmarried","White","Male",0,0,40,"United-States","small"
19,"Private","Some-college","Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","small"
40,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States","large"
38,"Self-emp-inc","HS-grad","Divorced","Sales","Unmarried","White","Male",0,0,55,"United-States","small"
67,"Private","HS-grad","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,24,"United-States","small"
51,"State-gov","Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","large"
49,"Local-gov","Bachelors","Never-married","Prof-specialty","Own-child","White","Female",0,0,50,"United-States","small"
37,"Private","HS-grad","Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","small"
27,"Private","HS-grad","Never-married","Other-service","Not-in-family","White","Male",0,0,40,"United-States","small"
63,"State-gov","HS-grad","Divorced","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States","small"
82,"Self-emp-inc","Some-college","Widowed","Sales","Not-in-family","White","Male",0,0,20,"United-States","small"
22,"State-gov","Some-college","Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","small"
21,"Private","Some-college","Never-married","Transport-moving","Own-child","White","Male",0,0,30,"United-States","small"
22,"Local-gov","Bachelors","Never-married","Prof-specialty","Own-child","Black","Female",0,0,18,"United-States","small"
36,"Federal-gov","HS-grad","Never-married","Adm-clerical","Own-child","Black","Female",0,0,36,"United-States","small"
45,"Private","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","large"
44,"Private","HS-grad","Divorced","Adm-clerical","Not-in-family","White","Female",0,1504,45,"United-States","small"
17,"Private","11th","Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","small"
60,"Private","HS-grad","Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States","large"
57,"Self-emp-not-inc","Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"United-States","small"
26,"Private","Masters","Married-civ-spouse","Prof-specialty","Husband","White","Male",5013,0,40,"United-States","small"
51,"Private","Bachelors","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","large"
55,"Private","10th","Widowed","Transport-moving","Not-in-family","Black","Female",0,0,35,"United-States","small"
35,"Private","Some-college","Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","small"
40,"Private","HS-grad","Widowed","Machine-op-inspct","Own-child","White","Female",0,0,30,"United-States","small"
39,"Private","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,30,"United-States","small"
30,"Private","Some-college","Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States","small"
60,"Private","Assoc-voc","Widowed","Craft-repair","Not-in-family","White","Female",0,0,30,"United-States","small"
23,"Private","Some-college","Never-married","Other-service","Unmarried","White","Female",0,0,25,"United-States","small"
27,"Private","HS-grad","Never-married","Other-service","Not-in-family","White","Male",0,0,48,"United-States","small"
54,"Private","Bachelors","Married-civ-spouse","Sales","Husband","White","Male",3103,0,40,"United-States","large"
27,"Private","HS-grad","Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","small"
45,"Private","HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","small"
48,"Private","10th","Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,65,"United-States","large"
21,"Private","HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","small"
39,"Local-gov","Assoc-voc","Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,37,"United-States","small"
46,"Private","Assoc-acdm","Never-married","Prof-specialty","Unmarried","White","Female",0,0,36,"United-States","small"
47,"Federal-gov","Bachelors","Married-civ-spouse","Craft-repair","Husband","White","Male",0,1740,40,"United-States","small"
46,"Self-emp-not-inc","HS-grad","Married-civ-spouse","Farming-fishing","Husband","White","Male",0,1672,50,"United-States","small"
39,"Private","HS-grad","Divorced","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","small"
28,"Private","Some-college","Never-married","Exec-managerial","Not-in-family","White","Female",10520,0,40,"United-States","large"
38,"Private","Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","large"
43,"Private","HS-grad","Separated","Other-service","Not-in-family","Black","Female",0,0,40,"United-States","small"
37,"Private","HS-grad","Divorced","Machine-op-inspct","Unmarried","Black","Female",0,0,40,"United-States","small"
27,"Private","HS-grad","Never-married","Sales","Own-child","Black","Male",0,0,60,"United-States","small"
34,"Private","Some-college","Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"United-States","small"
64,"State-gov","Bachelors","Divorced","Tech-support","Not-in-family","White","Male",0,0,40,"United-States","small"
30,"State-gov","Assoc-voc","Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","small"
37,"Private","Assoc-voc","Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States","small"
41,"Private","HS-grad","Never-married","Adm-clerical","Other-relative","White","Female",0,0,40,"United-States","small"
48,"Private","HS-grad","Divorced","Sales","Not-in-family","White","Female",0,0,52,"United-States","small"
30,"Self-emp-not-inc","12th","Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,75,"United-States","small"
31,"Private","Bachelors","Never-married","Sales","Not-in-family","White","Male",4101,0,50,"United-States","small"
26,"Private","HS-grad","Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,"United-States","small"
40,"Private","Bachelors","Never-married","Sales","Own-child","White","Male",0,0,40,"United-States","small"
21,"Private","HS-grad","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,36,"United-States","small"
44,"Local-gov","HS-grad","Divorced","Transport-moving","Own-child","White","Male",0,0,25,"United-States","small"
51,"Private","HS-grad","Divorced","Priv-house-serv","Own-child","White","Female",0,0,40,"United-States","small"
33,"Private","Assoc-voc","Divorced","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","small"
47,"Private","Bachelors","Married-civ-spouse","Adm-clerical","Husband","White","Male",7298,0,40,"United-States","large"
48,"Private","Some-college","Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","large"
18,"Private","11th","Never-married","Handlers-cleaners","Own-child","White","Male",0,0,18,"United-States","small"
28,"Private","Assoc-voc","Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","small"
39,"Private","Bachelors","Married-civ-spouse","Craft-repair","Wife","White","Female",0,0,30,"United-States","large"
52,"Self-emp-not-inc","Prof-school","Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,45,"United-States","large"
